Text,Label
 This video shows corpses on the streets of Wuhan.		,0
 Chinese police kill a woman escaping a COVID-19 quarantine in China.		,0
 India has developed a treatment for coronavirus.		,0
 Chinese are converting to Islam after realizing that no Muslim was affected by COVID-19 in the country.		,0
 This coronavirus-infected patient reached to Dr. Vinod Kumar but he wasn't given the treatment. He was later referred to Bhagalpur. It further states that one should avoid meat and fish for 3 months and wear mask to protect yourself from coronavirus.		,0
 World labs confirm coronavirus was bioengineered.		,0
 An elderly Chinese couple infected with coronavirus say goodbye while they are in a hospital.		,0
 Coronavirus is a biological warfare weapon.		,0
" The 2008 book ""End of Days"" predicted the current coronavirus outbreak.		",0
" A video says ""the coronavirus was invented and patented in the USA and then planted in China.""		",0
 Studies show the coronavirus was engineered to be a bioweapon.		,0
 Chinese converting to Islam after realizing that no Muslim was affected by COVD19 in the country.		,0
 A Chinese man has been lynched because he pretended to have the coronavirus.		,0
 The drug Arbidol can help fight the new coronavirus.		,0
" 20 million Chinese convert to Islam, and coronavirus does not affect Muslims.		",0
 The Simpsons predicted the new coronavirus outbreak.		,0
 Video shows racist reactions toward Asian people.		,0
" Coronavirus has arrived in Sarajevo, Bosnia and Herzegovina.		",0
 Chinese people are fleeing China to Vietnam because of coronavirus.		,0
" Six coronavirus cases confirmed in Wichita, Kansas.		",0
 Pigs are buried alive due to coronavirus.		,0
" Post says ""people of color may be immune to the coronavirus because of melanin.""		",0
 According to a study the novel coronavirus SARS-CoV-2 was the result of experiements done in a lab located near the market in Wuhan.		,0
 A Facebook status from 2012 talked about the spread of coronavirus in 2020.		,0
" Years ago, there was a hand sanitizer active against Sars-Cov-2.		",0
 Bill Gates wrote a letter saying COVID-19 is teaching humans a lesson.		,0
 The link between COVID-19 and 5G is being hidden.		,0
" Coronavirus case in Uttar Pradesh district, India.		",0
 A Chinese SWAT Team takes down a coronavirus suspect		,0
" There are two coronavirus cases in Bovalino (Reggio Calabria, Italy).		",0
" Coronavirus in Sant'Egidio (Abruzzo, Italy).		",0
" Coronavirus in Parabiago e Nerviano (Lombardia, Italy)		",0
 Coronavirus is present at Bosch company in Bari (Puglia) because Chinese people visited the week before.		,0
" A book by D.Koontz, ""The Eyes of Darkness,"" predicted COVID-19 in 1981.		",0
 Nostradamus predicted the coronavirus.		,0
 A 1981 book predicted the coronavirus outbreak.		,0
" Radio host Rush Limbaugh compares novel coronavirus to ""the common cold.""		",0
" ""The coronavirus is the common cold, folks.""		",0
" Video says President Donald Trump spawned the ""Wuhan super virus outbreak under code name 'zyphr.'""		",0
 Coronavirus was found in horses.		,0
 Indian Government and the WHO advised people not to purchase colors from China for Holi.		,0
 China needs coronavirus SWAT (special weapons and tactics) police teams to arrest this coronavirus victim.		,0
" In Poland, people who are not insured have to pay for coronavirus testing, so if they can't afford it, they will spread it.		",0
 Bats that hide under Wuhan rooftops caused the COVID-19 outbreak.		,0
 Video of a road traffic control in China to detect people infected with coronavirus.		,0
 Coronavirus is a bioweapon leaked from a Wuhan lab.		,0
" Coronavirus patients are being ""cremated alive"" in China.		",0
" Evidence indicates COVID-19 escaped a Chinese lab that was researching it, causing the outbreak.		",0
" The mortality rate for the flu is ""right around"" that of the new coronavirus",0
 President Trump claims the virus is under control and testing is available.		,0
 China took advantage of the coronavirus crisis to buy back stocks from its technology companies belonging to foreign investors.		,0
 Is it useful to close borders to stop the outbreak?		,0
 Italian Red Cross gives the recipe for making amuchina (hand sanitizer) at home.		,0
" A ""letter"" from an uncle in Wuhan claims COVID-19 can be cured with hot water.		",0
 A man is allegedly selling medical masks for 80 denars on a bus owned by the Skopje Public Transportation Enterprise.		,0
 Letters and packages sent from China can cause coronavirus infection.		,0
 Face masks are a good protection against the coronavirus.		,0
 The new coronavirus was registered in 2004.		,0
 School has been suspended in Catalonia until 3/2/20.		,0
 New cases of coronavirus in Madrid are linked to two universities and a club.		,0
" Two cases are confirmed of coronavirus in Huelva, Andaluc¡a (2/26/20)		",0
 A monkey has been infected with coronavirus in this photo.		,0
 CDC issued facial hair recommendation for novel coronavirus prevention.		,0
" A post say ""hair weave and lace fronts manufactured in China may contain the coronavirus.""		",0
 Hair Weaves And Lace Front Wigs Made In China Likely To Contain coronavirus.		,0
" A post says ""hair weave and lace fronts manufactured in China may contain the coronavirus.""		",0
" ""Coronavirus",0
 The CDC recommends men shave their beards to protect against coronavirus.		,0
" ""Hair weave and lace fronts manufactured in China may contain the coronavirus.""		",0
 Health authorities say shaving a beard protects from COVID-19.		,0
 Chloroquine cures COVID-19.		,0
 French far right leader Marine Le Pen says the EU didn't act against the outbreak		,0
 The WHO says the coronavirus might be spread by food.		,0
 The WHO has issued an alert against buying holy colors from China		,0
 A video accompanying a claim shows bodies being removed from a hospital in Iran during the novel coronavirus pandemic.		,0
 Video shows Chinese officials detaining an infected citizen who refused to be tested.		,0
" A ""Lithuanian doctor"" gives advice to those potentially infected with the coronavirus.		",0
 A monkey is been infected with the coronavirus in this photo.		,0
 Lectures have been suspended at the University of Sevilla due to coronavirus.		,0
 There is a new case of COVID-19 in Saced¢n (Spain).		,0
 El Pais said there is a possible case of coronavirus at the hospital Gregorio Mara¤¢n in Spain.		,0
 An article in El Pais says there is a case of coronavirus at the School of Architecture of Madrid.		,0
 First case of coronavirus in Alcal  de Henares (Madrid).		,0
 A brothel with 86 customers was quarantined after a prostitute tested positive for the coronavirus.		,0
 Sevilla's university has suspended classes because of coronavirus on 2/27/20.		,0
 Dr. Gerardo Dovakin found a vaccine against coronavirus.		,0
" A book published in 1981 said that in 2020 a severe pneumonia-like illness would spread across the world, and calling it ""Wuhan-400"".		",0
" Each side of protective surgical masks has different functions, indicated by colour, and you should choose the way you wear by whether you are ill or not.		",0
 Lysol products can kill the novel coronavirus.		,0
" ""The blood test for coronavirus costs $3,200.""		",0
" ""America has been vaccinating cattle for coronavirus for years, yet the news tells you it's new and going to kill you all, so go buy a mask.""		",0
" Starting in March, if you travel outside of the United States you won't be allowed back in the country ""due to high risk of the coronavirus.""		",0
" ""'Akira' is a 1988 movie about an apocalyptic event taking place months before Tokyo 2020 Olympics, showing the WHO advising Japan to postpone the Olympics because of a pandemic risk.""		",0
 Beef meat is the best vaccine against COVID-19.		,0
 Chinese police use a fishing net to arrest a man with a high fever.		,0
 COVID-19 is just a big flu.		,0
 It is best to shave your beard to avoid being infected by the coronavirus.		,0
" The German government made a ""secret plan"" about coronavirus in 2012 that foretold the pandemic.		",0
 Tips against coronavirus like holding your breath and drinking water.		,0
 Coronavirus patients in China are caught by officials on a highway.		,0
 A video of chaos in a shop claims people are panicking after the first confirmed case of coronavirus in Lithuania.		,0
 Summer temperatures will make coronavirus disappear.		,0
" ""Spanish newspaper ABC reports there are two possible COVID-19 cases in Gines and Benecaz¢n (Seville, Spain).		",0
" A man with a gas mask at a supermarket in Lugo (Galicia, Spain).		",0
" The wife of a Chinese shop owner in Totana (Murcia, Spain) has coronavirus.		",0
 Authorities should implement temperature tests to travelers from China.		,0
 Video of a person infected with coronavirus being detained by the police.		,0
 Barcelona's council issued a notification of a new focus in two neighborhoods.		,0
 Clients of a brothel in the Spanish city of Valencia are quarantined after one of their employees tested positive for coronavirus.		,0
 Election years in the United States coincide with major disease outbreaks.		,0
 Florida man is arrested for robbery using cough as a weapon.		,0
" A ""poll finds 38% of Americans say they will not drink Corona beer because of the virus.""		",0
" ""The coronavirus has made it to Mississippi and the lady that caught it wasn't around anybody with it, which means it is airborne. If the wind blows it in your direction, you'll have it also.""		",0
" ""Every election year has a disease""?  SARS in 2004; avian flu in 2008; swine flu in 2010; MERS in 2012; Ebola in 2014 and 2018; Zika in 2016 and the coronavirus in 2020.		",0
" Germany gave medical protection equipment like masks to China, now it's missing in Germany.		",0
 The coronavirus is more dangerous for animals than for humans.		,0
 A video shows people storming an Aldi supermarket to buy groceries because of coronavirus fear.		,0
" This virus must be old because the label on a bottle of disinfectant from 2015 shows ""coronavirus"".		",0
 Russia announces the closure of airspace and suspends all incoming and outgoing flights to China.		,0
 Garlic water can treat coronavirus.		,0
 Pangolin is the original cause of COVID-19.		,0
 Doctors recommend carbon filter face masks to prevent coronavirus spread.		,0
 A video says the Vatican confirmed Pope Francis and two aides tested positive for coronavirus.		,0
" President Barack Obama ""waited six months to call swine flu an emergency after thousands died.""		",0
 CDC recommends men shave their beards to be protected against the new coronavirus.		,0
 Bill Gates is working on an electronic chip to implant under human skin in order to locate and control people.		,0
 Facemasks prevent coronavirus infection.		,0
 An alkaline diet can prevent coronavirus infection.		,0
 Pope Francis and two aides tested positive for coronavirus.		,0
" ""Florida hospital reports a coronavirus 'infestation' with multiple confirmed patients.""		",0
" Photo shows a man wearing a ""government issued Saint Laurent hazardous materials suit.""		",0
" ""Shands Hospital of Gainesville, Florida, has confirmed its first case of coronavirus.""		",0
 Post says no one has died from the coronavirus in the United States.		,0
" The coronavirus is ""simply the common cold.""		",0
 Oklahoma police planning to set up roadblocks to enforce a mandatory COVID-19 vaccination law and slap micro-chipped bracelets on people.		,0
 Plant-based cure for coronavirus discovered in Iran.		,0
 Disinfectant gel causes cancer.		,0
" Man critical with novel coronavirus in Barhalganj, India.		",0
 Alcohol kills the coronavirus.		,0
 Outbreak of COVID-19 is a worldwide fake. The fatality rate is too low for an epidemic. The WHO admitted causing the SARS outbreak in 2003.		,0
" Ambulance health care workers are transporting a coronavirus patient in The Hague (The Netherlands), dressed in white protective suits.		",0
 The Ministry of Health in Spain issues advice about the coronavirus outbreak.		,0
 3.000 people from Elche (Spain) are infected with the coronavirus after coming back from Milan's international footwear industry fair.		,0
" The United States is ""actually screening fewer people (for the coronavirus than other countries) because we don't have appropriate testing.""		",0
" A bovine coronavirus vaccine, for cattle, is proof that the novel coronavirus isn't ""new"" and is evidence of ""how much the media controls people.""		",0
 Journalist claims a coronavirus patient was murdered.		,0
 U.S. Vice President Pence urged people with coronavirus to go to the police.		,0
" Post says ""sanitizer will do nothing for the coronavirus.""		",0
" Post says two patients at Valley Regional Medical Center in Brownsville, Texas, ""are being looked at"" for possible coronavirus infections.		",0
" U.S. Senator Lindsey Graham says President Trump ""probably knows more about medicine and specifically viruses than any of the so-called scientists at the NIH and CDC.""		",0
" ""Coronavirus hoax",0
 People queue outside an Aldi supermarket in Germany to buy food in fear of the new coronavirus.		,0
 The photos show Indians bathing in cow dung to prevent infection.		,0
 Images of BJP men smearing cow dung on one another after their party leader Suman Haripriya said cow dung may help cure coronavirus.		,0
 This video shows dead coronavirus victims amassed in the Bergamo (or Brescia) hospital.		,0
" Video claims that ""The health system is collapsing"" in North Macedonia.		",0
 The CDC recommends men shave their beards to be protected against the new coronavirus.		,0
 You can't get infected by kissing the hands of a virgin or saint statue.		,0
 Drink (warm) water or gargle every 15 minutes to rinse the new coronavirus down.		,0
 Ads are selling masks protecting against COVID-19.		,0
 An image shows Senate Minority Leader Chuck Schumer criticizing President Trump's restrictions on foreign nationals traveling to the U.S. from China.		,0
 The government?  or specific states such as Michigan or Florida?  has mandated that employers and schools close for two weeks.		,0
 Pope Francis and his two aides have been infected with the new coronavirus		,0
 A bovine vaccine can be used to inoculate people against coronavirus.		,0
 Patents mean deadly diseases and viruses were created or invented in a lab.		,0
 Bloggers say the Vatican reports that Pope Francis tested negative for the coronavirus before a second test came back positive.		,0
" Video shows President Donald Trump saying COVID-19 is the Democrats' ""new hoax.""		",0
 Vitamin C prevents coronavirus.		,0
 The first dog was infected with coronavirus.		,0
" The coronavirus is a bioweapon by the USA, says German politician Wolfgang Gedeon in a Parliament speech.		",0
 Cow dung and cow urine can cure coronavirus.		,0
 Consuming large doses of Vitamin C can stop the spread of coronavirus.		,0
 European Health Organization (EHO) announced that eating beef can cure coronavirus.		,0
 Rapper Eminem contacted coronavirus.		,0
 The first coronavirus case in North Macedonia was a well-known fashion designer.		,0
 New coronavirus was registered in 2018.		,0
 A dog was quarantined in Hong Kong after testing positive for the new coronavirus.		,0
" Garlic, onions and other traditional medicine recipes are treatments against the new coronavirus.		",0
" ""With regard to the cost, let me be very clear",0
 The common cold is the only type of coronavirus.		,0
 Officials say coronavirus killed 200 in Iran.		,0
" ""Man visited Albany, N.Y., days before dying from coronavirus.""		",0
" ""The State of Florida has announced measures that all workplaces with 10 employees or more are to have paid mandatory leave to avoid the spread of COVID-19 coronavirus starting on March 6, 2020. All schools are to close for 2 weeks also from March 6.""		",0
" The media ""pulled down an entire shelf of goods so that they can present the news of people buying stuff in a hysteria over the coronavirus.""		",0
" ""The Obama administration made a decision on testing that turned out to be very detrimental to what we're doing"" on the coronavirus.		",0
" The Obama administration ""didn't do anything about"" swine flu.		",0
 Trump's effort to blame Obama for sluggish coronavirus testing.		,0
 Medical book states that coronavirus is just a common cold.		,0
 Does France underestimate the outbreak?		,0
 A confidential governmental document proves that the government has decided to postpone local elections in France because of the outbreak.		,0
 There is a connection between 5G and Covid-19.		,0
 UNICEF recommendations,0
 A Shaheen Bagh protest in India was claimed to have coronavirus.		,0
 Runny nose and coughing sputum are not symptoms of COVID-19.		,0
 Precautionary measures suggested by UNICEF.		,0
" A post says that there is a movie that predicted the pandemic and it's called ""Coronavirus"".		",0
 Article says that the Vatican confirmed that the Pope and two assistants have coronavirus.		,0
 A patent that is being shared to claim COVID-19 is old.		,0
 No work in several regions of Spain due to coronavirus.		,0
 86 clients of a brothel in quarantine after a prostituted tested positive in coronavirus.		,0
 Vitamin C is a miracle cure for the novel coronavirus.		,0
 Shanghai government officially recommends Vitamin C for COVID-19.		,0
 Donating plasma or blood is free testing for the coronavirus.		,0
 Novel coronavirus has a 99.7% survival rate.		,0
" The coronavirus test costs $3,200.		",0
 Every election year has a disease; coronavirus has a contagion factor of 2 and a cure rate of 99.7% for those under 50 it infects.		,0
 The coronavirus outbreak is caused by 5G technology.		,0
" President Donald Trump tweeted, ""Coronavirus vaccine from Israel! Stock market up! Economy even stronger now! Besides US, Israel best at inventions",0
 Homeopathic product Oscillococcinum protects against COVID-19.		,0
 38 % of Americans won't buy Corona beer due to the coronavirus.		,0
 People who died after being infected by the novel coronavirus can't receive any mortuary care.		,0
 Pope Francis contacted coronavirus.		,0
 Chinese President Xi Jinping visited Muslims to understand why they are not contracting COVID-19.		,0
 Aaj Tak channel aired a program that said drinking alcohol or smoking weed can cure COVID-19.		,0
 Girl infected with coronavirus found dead in her apartment in Delhi.		,0
 Increasing border controls will stop coronavirus from spreading.		,0
 Holding your breath for 10sec can determine if you have COVID-19 and you should drink water every 15 minutes.		,0
 Medical Center in El Cachorro (Sevilla) closed due to a possible coronavirus infected person.		,0
 Medical report of Hospital General Universitario Santa Luc¡a de Cartagena (Murcia) from a person with possible coronavirus.		,0
" It is a designed virus ordered to laboratories by Christine Lagarde when she was in the IMF. She said that ""old people live too long and this is a risk for the global economy. We must do something, urgently.""		",0
 WhatsApp message suggests holding your breath for 10 seconds and drinking water every 15 minutes will fight the coronavirus.		,0
 WhatsApp message suggests holding your breath for 10 seconds and drinking water every 15 minutes will fight the coronavirus..		,0
" Bloggers say Nancy Pelosi delayed coronavirus funding so ""Dems could campaign on it.""		",0
 The mayor Of Buffalo told people to evacuate due to the coronavirus outbreak.		,0
" CDC sponsored Facebook post asking for help with ""escaped"" coronavirus patient.		",0
" If the coronavirus gets in your mouth, ""drinking water or other liquids will wash them down through your esophagus and into the stomach. Once there, your stomach acid will kill all of the virus.""		",0
" ""Anybody that wants a test (for the coronavirus) can get a test.""		",0
 People can't use the right of withdrawal at work because of the outbreak.		,0
 Did the coronavirus mutate and became more aggressive?		,0
 Telangana Ministry in India distributed homeopathic tablets claiming to prevent COVID-19.		,0
 Coronavirus patients are being caught on highways in China.		,0
 Cocaine cures COVID-19.		,0
 Vietnam was the first country to contain and develop a quick test for SARS and COVID-19.		,0
 Consuming colloidal silver can prevent or treat novel coronavirus.		,0
" As of 3/7/20, Tanzania and Zambia had confirmed fist cases of the new coronavirus.		",0
" A Facebook post shared 25,000 times features an image of a letter purportedly from a U.S. hospital recommending people drink alcohol to help reduce the risks of novel coronavirus infection.		",0
" ""More people have died from knowing Hillary (Clinton)"" than from coronavirus.		",0
" U.S. hospitals are preparing for 96 million coronavirus infections and nearly half a million deaths, leaked documents reveal.		",0
 Elderberry syrup protects against the coronavirus.		,0
 5G is accelerating the spread of the new coronavirus.		,0
 An Italian doctor who worked at the Shenzhen hospital in China issued a series of instuctions for locating and treating the new coronavirus SARS-CoV-2.		,0
" A post has been shared on Facebook, Twitter and Whatsapp claims a regional government in India has recommended that the juice of bitter gourd, a vegetable often used in traditional medicine, is an effective treatment for the novel coronavirus.		",0
 Hot air application through a hairdryer on the face to heat up nostrils and the sinus kills the novel coronavirus.		,0
 States are imposing mandatory leave and statewise school closures due to coronavirus.		,0
" Danish politician says Greta Thunberg gets special treatment in the European Parliament as she, despite the current outbreak, is allowed to speak.		",0
 The French health minister underestimated the risk of contamination in France.		,0
 A second version of the coronavirus is spreading and it is far more dangerous.		,0
 Hundreds of Italian families are running away from the virus to Africa.		,0
 This laboratory is giving money to people who would agree to be infected with the novel coronavirus.		,0
 The headline of a newspaper with a phrase from the Bolivian chancellor about the coronavirus.		,0
" People of the Muslim community have prohibited visiting Mecca Medina to avoid the outbreak of coronavirus, but people of Sanatan religion are playing Holi at the crematorium of Kashi Vishwanath as a pyre.		",0
 Video shows reciting Namaaz and Quran is the only treatment for COVID-19.		,0
 UNICEF advises a certain set of steps to follow for coronavirus.		,0
" In an Aaj Tak news report, the Chinese prime minister said, ""Reading Quran and offering namaz is the only cure for COVID-19.""		",0
 Availability of a kit for coronavirus self-diagnosis.		,0
 Availability of a kit for coronavirus self-diagnosis in Italy.		,0
 A kit for coronavirus self-diagnosis is available.		,0
 COVID-19 can be killed over 37 degrees Celsius.		,0
" The Mayor of Skopje, Shilegov, returned from Madrid three days ago, and the government passed a decree requiring all passengers from Spain to be tested for coronavirus and placed in a 14-day quarantine.		",0
 Gang in Madrid is pretending to be doctors to steal from people's houses.		,0
 The bill for a coronavirus test in the US is 3.000$.		,0
 Viral claims propagating UNICEF message about coronavirus.		,0
 Coronavirus was caused by a mysterious vaccine activation distributed in China by chemtrails and activated by 5G.		,0
 EvAU's exam is postponed to June 18 in Madrid.		,0
" Spanish actress Cristina Pedroche has promised to show a breast if the number of coronavirus infections reaches 1,000 in Spain.		",0
 This Lysol disinfectant against coronavirus shows the virus is not new.		,0
 A doctor named Lupita Yamamoto Lupercio found the coronavirus vaccine.		,0
 Madrid's government has announced students will have to make-up classes during summer.		,0
" Post says ""President Trump has come into contact with a potential coronavirus sufferer!""		",0
" Says 80% of novel coronavirus cases are ""mild.""		",0
 Donating blood in the U.S. can get you a novel coronavirus test.		,0
" Hand sanitizer will ""do nothing for the coronavirus.""		",0
 Freshly boiled garlic water is a cure for coronavirus.		,0
 Department of Homeland Security official says illegal border crossings may spread coronavirus.		,0
 A NYC Man With Suspected coronavirus Drops Dead in the Middle of the Street.		,0
" Post says ""being exposed to the sun for two hours"" kills the 2019 coronavirus.		",0
" ""(Former U.S. President Barack Obama) set up anti-pandemic programs in 47 vulnerable countries as a way to protect against something like the coronavirus. Do you know that Trump closed 37 of them?""		",0
" ""Coronavirus?  22. Clintons?  39.""		",0
 Flu vaccine does not increase the risk of a coronavirus infection.		,0
 Antibiotic azitromycin cures COVID-19.		,0
 Holding your breath is an effective way to self-diagnose for COVID-19.		,0
 Coronavirus is actually chemtrail lungs.		,0
" Americans have to pay $3,000 or $4,000 for a day of containment.		",0
 Drinking hot tea can prevent coronavirus infection.		,0
 Senegalese president and government appears with masks during a press conference.		,0
 You can kill the coronavirus by drinking hot drinks.		,0
 First patient healed in Algeria.		,0
" While everybody is busy with coronavirus, authorities in Grlitz, Germany, secretly brought asylum seekers into the city.		",0
 Vitamin C kills viruses.		,0
 Tips against coronavirus include holding your breath and drinking water.		,0
" A video where a woman dressed like a Chef prepares food with only one glove, and she blows on it with no protections. The video would have been shot in Africa during the COVID-19 pandemic.		",0
" The Italian department of civil protection has communicated that from 3/16/20, the bio-containment BSL-4 can be introduced.		",0
 The Italian Ministry of Interior ruled with a public statement that police will check all people as they exit from their houses.		,0
" 200 new cases of COVID-19 registered in Lithuania. People are ""cleansed with bleach"" at the Vilnius international airport and taken to a small tent-town nearby.		",0
" A Macedonian coronavirus patient, the director of the Skin Clinic, was at the wedding of the Secretary General of the Social Democratic Union of Macedonia.		",0
" Fake coronavirus pandemic is a cover-up for the ""5G disease.""		",0
 UNICEF advises not to eat ice cream because it reinforces infection with the new coronavirus.		,0
 Thieves in Palma (Spain) are pretending to be doctors to steal in people's houses.		,0
 Gang in Vitoria pretending to be doctors to steal from people's houses.		,0
 Vitamin C and warm water with lemon are effective ways of preventing COVID-19.		,0
" The head of Coordinated Emergences, Fernando Simon, has said that is better to get coronavirus now, because later there will be no space in hospitals.		",0
 Public broadcast RTVE published a map of coronavirus cases in Spain that in fact was a map of penis' average size in different regions.		,0
 Classes were canceled in Basque Country because of coronavirus.		,0
 Regional government of Castilla-La Mancha announced in Twitter the closing of schools until April 1.		,0
 Spanish Education minister Isabel Cela  wore purple latex gloves on a Women's Day demonstration because she was afraid of the coronavirus.		,0
 Madrid ex-mayor Manuel Carmena has coronavirus.		,0
 Audio from WhatsApp in which the head of cardiology at the Gregorio Mara¤¢n Hospital states that we are in a moment of uncontrolled coronavirus infection.		,0
 Galicia suspended classes because of coronavirus on 3/10/20.		,0
 Empty supermarket in Madrid after measures announced against coronavirus.		,0
" Manuela Carmena, ex-mayor of Madrid, got infected with coronavirus.		",0
 Thieves in Madrid are pretending to be doctors to steal from people's houses.		,0
 Holding your breath for 10 seconds can determine if you have COVID-19 and you should drink water every 15 minutes.		,0
 A coronavirus vaccine for cows shows that the virus behind the current outbreak is not new.		,0
" Post says Harvard scientists say the coronavirus is ""spreading so fast that it will infect 70% of humanity this year.""		",0
 Every U.S. election year has a disease outbreak.		,0
" 10,000 deaths In virus outbreak in Michigan, Washington, Idaho, North Dakota, Missouri, Mississippi.		",0
 Tweet says Daniel Radcliffe has the coronavirus.		,0
 You can monitor yourself for COVID-19 with a breath test.		,0
 Does Mexico have confirmed cases of COVID-19?		,0
 Holding your breath for 10 seconds can determine if you have COVID-19; drink water every 15 minutes.		,0
 Marijuana is a cure for the coronavirus.		,0
 Why it's dangerous to make your own hand sanitizer at home.		,0
 Hold your breath 10 seconds to check if you are infected with the novel coronavirus.		,0
 Racist scene against Chinese people in the metro in Belgium.		,0
 Demonstrations against Chinese people in Italy.		,0
 Panic scene in Germany with people rushing into a supermarket.		,0
" If your nose is running you don't have COVID-19. The virus dies at 27 degrees celsius, thererfore you should drink hot water or tea. The most common way to get infected is to touch surfaces. Every normal mask can filter the virus because it is very big.		",0
